source,target,distance,duration,pm
14,265,430.0,311.0,55.601103425699996
14,92,864.0,621.0,77.1766881104
14,305,777.0,577.0,76.0527870076
14,220,992.0,735.0,61.1917454339
14,21,839.0,653.0,88.2752636484
14,217,1006.0,755.0,60.296474374700004
14,287,1033.0,738.0,76.2765884656
14,337,1104.0,828.0,60.25158996800001
14,23,1241.0,945.0,86.9757323843
15,11,519.0,400.0,61.66656297390001
15,55,725.0,603.0,71.0529137571
15,3,819.0,597.0,80.3057668322
15,289,751.0,572.0,77.23967801100001
15,116,1015.0,816.0,68.9461574578
15,82,992.0,805.0,73.57972019600001
15,177,1090.0,829.0,82.8829616046
15,253,1281.0,1016.0,78.0665201707
15,105,1252.0,979.0,80.3006708206
16,72,641.0,433.0,58.2540208372
16,87,575.0,477.0,95.77306695530001
16,267,458.0,404.0,67.5158540742
16,115,789.0,576.0,54.8618918342
16,69,584.0,386.0,89.81978876790001
16,136,829.0,780.0,63.59076869720001
16,10,1035.0,959.0,68.5036702937
16,214,1037.0,745.0,67.8202577155
16,57,852.0,633.0,79.7970072921
17,325,297.0,219.0,64.669227351
17,273,367.0,297.0,93.700298358
17,22,398.0,280.0,60.9683429662
17,215,610.0,439.0,86.3283618559
17,168,682.0,512.0,68.8737698393
17,346,844.0,650.0,69.3739588173
17,295,632.0,497.0,70.154086959
17,167,774.0,587.0,75.1291291517
17,31,871.0,686.0,78.9811414735
18,47,475.0,351.0,77.6106889508
18,152,595.0,441.0,71.3841189542
18,214,667.0,512.0,67.8202577155
18,126,893.0,659.0,74.4471212377
18,338,677.0,534.0,60.8126910815
18,70,920.0,684.0,70.48351104449999
18,236,784.0,582.0,69.90468507770001
18,72,1336.0,1033.0,58.2540208372
18,148,1568.0,1187.0,83.6651037068
19,321,914.0,655.0,49.5888810612
19,37,1251.0,926.0,48.3707316667
19,164,1476.0,1079.0,65.5982412424
19,44,2172.0,1586.0,91.3705713807
19,347,4161.0,3036.0,80.5187830018
19,33,4124.0,3072.0,85.8128491799
19,42,5110.0,3844.0,63.0527347267
19,341,3444.0,2517.0,65.7374033112
19,229,1932.0,1466.0,73.3096244056
20,204,370.0,301.0,74.58484241859999
20,261,615.0,486.0,72.49729137770001
20,84,507.0,388.0,68.175690578
20,46,539.0,402.0,71.6928034532
20,38,787.0,593.0,80.2301821824
20,155,639.0,556.0,58.641771159399994
20,82,1099.0,874.0,73.57972019600001
20,201,1250.0,949.0,81.6700883909
20,151,765.0,616.0,67.51764459479999
21,23,436.0,318.0,86.9757323843
21,337,569.0,398.0,60.25158996800001
21,305,592.0,413.0,76.0527870076
21,171,613.0,472.0,58.4221086701
21,220,1013.0,722.0,61.1917454339
21,135,865.0,645.0,83.2225262497
21,90,988.0,709.0,73.878624965
21,345,1092.0,802.0,60.9452905171
21,14,839.0,591.0,76.777572239
22,215,481.0,378.0,86.3283618559
22,325,572.0,449.0,64.669227351
22,17,398.0,326.0,67.9958824949
22,167,591.0,436.0,75.1291291517
22,273,697.0,569.0,93.700298358
22,187,586.0,396.0,84.70942246770001
22,249,737.0,528.0,67.1043408291
22,122,866.0,653.0,64.462857676
22,346,956.0,731.0,69.3739588173
23,21,436.0,326.0,88.2752636484
